totalrx,totaltx
> 1000,> 1000

totalrx,totaltx
480,0
1023,2023
306,89
612,66
512,552
1078,272
736,276
1104,2039
60,42
1136,89
512,552
240,0
1070,0
240,0
1024,1104
784,272
627,420
692,338
1851,1198
0,0
551,1863
480,89
25957,3966016
0,0
480,0
0,0
296,692
480,0
512,552
0,0
728,272
0,0
512,552
736,244
0,0
1134,568
13390,11503
1170,2489
912,365
720,0
743,475
3486,3890
1042,365
0,0
256,276
480,0
0,0
312,0
968,272
240,0
0,0
736,276
256,276
632,1945
802,365
256,276
256,276
1567,2849
66,89
0,0
480,0
488,272
338,0
720,0
1102,552
872,1945
802,365
1194,718
0,0
480,0
1102,552
791,1929
1082,489
0,0
768,828
1040,548
0,0
312,0
992,552
248,272
632,1945
546,89
0,0
0,0
480,0
240,0
0,0
480,0
1303,2481
66,89
0,0
240,0
1560,2260
846,244
0,0
240,0
838,272
60,42
0,0
372,66
3422,2160
1120,2315
570,637
240,0
454,756
0,0
551,1929
378,89
240,0
0,0
0,0
256,276
888,2155
0,0
570,637
256,276
256,276
0,0
0,0
0,0
0,0
240,0
0,0
1018,1422
752,552
300,42
2365,2514
102340,4091135
0,0
830,0
752,552
0,0
0,0
488,272
768,828
560,548
0,0
312,0
512,552
551,1863
66,89
0,0
0,0
0,0
0,0
248,272
0,0
632,1945
1330,1193
0,0
0,0
0,0
1614,1038
807,2173
362,1657
650,42
0,0
0,0
1318,272
0,0
3072,2160
736,276
256,276
372,66
1055,2477
66,89
1104,2039
378,89
0,0
480,0
240,0
256,276
496,276
0,0
256,276
256,276
504,548
0,0
970,1879
617,2018
66,89
830,0
0,0
0,0
1102,552
422,1888
256,276
830,0
0,0
248,272
1144,2497
617,2018
66,89
0,0
768,828
808,820
0,0
312,0
512,552
29377,21739
1572,1378
50938,30461
1112,1945
456,1229
0,0
0,291
683,2295
488,272
1330,1193
0,0
0,0
590,0
1024,1104
256,244
650,42
632,1945
428,2171
590,0
0,0
0,0
3320,2432
256,276
256,276
0,0
256,276
0,0
248,272
312,0
551,1929
66,89
0,0
496,276
888,2221
66,89
736,276
992,552
0,0
0,0
488,272
240,0
590,0
0,0
791,1929
956,131
752,552
0,0
1086,276
362,2290
240,0
0,0
512,552
1120,2217
66,89
256,276
1319,2757
626,637
0,0
560,272
512,552
240,0
0,0
0,0
0,0
240,0
0,0
0,0
0,0
632,1945
768,828
904,361
0,0
551,1929
1680,1193
316,286
240,0
590,0
0,0
0,0
362,2490
0,0
2832,2160
256,276
504,548
0,0
256,276
0,0
0,0
1359,2144
103817,4127170
240,0
0,0
496,276
256,276
0,0
496,276
752,552
98,0
0,0
0,0
590,0
248,272
872,1945
716,131
0,0
512,552
1141,1863
322,365
0,0
0,0
362,2702
512,552
0,0
0,0
744,548
768,828
1192,2493
693,575
312,0
1139,1038
248,272
0,0
0,0
0,0
0,0
551,1863
66,89
0,0
0,0
1102,552
0,0
872,1879
964,403
1024,1104
256,244
590,0
0,0
0,0
185,566
0,0
72,0
3673,6925
322,365
256,276
0,0
5284,3269
0,0
0,0
552,0
996,2105
66,89
248,272
256,276
240,0
3808,3464
375752,278702
752,552
256,276
590,0
240,0
632,1879
87201,3859059
5982,158329
248,272
